1,8.83,543

2,10.05,743

3,9.38,888

4,8.31,1024

5,8.25,1160

6,8.25,1295

7,8.31,1430

8,8.19,1565

9,8.19,1700

10,8.19,1836

11,8.25,1971

12,8.19,2107

13,12.21,2242

14,10.00,2387

15,10.63,2524

16,11.22,2659

17,12.53,2794

18,9.95,2929

19,10.77,3065

20,10.30,3201

21,10.86,3336

22,9.54,3472

23,8.72,3607

24,9.59,3742

25,10.20,3877

26,11.27,4013

27,10.91,4149

28,16.00,4284

29,13.93,4419

30,14.42,4554

31,9.59,4690

32,12.73,4826

33,13.89,4961

34,15.13,5097

35,10.95,5237

36,11.58,5372

37,11.96,5509

38,11.79,5644

39,9.95,5780

40,9.17,5915

41,10.34,6051

42,13.86,6198

43,11.58,6333

44,11.14,6469

45,13.15,6604

46,11.31,6740

47,13.53,6876

48,10.30,7012

49,12.37,7147

50,13.15,7283

51,14.25,7418

52,10.10,7555

53,12.49,7690

54,13.15,7826

55,14.63,7971

56,10.91,8108

57,10.44,8243

58,11.22,8379

59,13.38,8514

60,12.04,8650

61,12.57,8785

62,14.28,8922

63,10.86,9057

64,13.71,9193

65,12.65,9328

66,12.21,9464

67,12.21,9605

68,12.96,9741

69,12.45,9876

70,12.96,10011

71,13.64,10147

72,12.29,10283

73,12.81,10419

74,11.70,10555

75,12.04,10690

76,12.41,10826

77,11.05,10961

78,11.36,11098

79,12.25,11233

80,12.21,11369

81,15.97,11515

82,10.44,11652

83,13.19,11787

84,14.25,11923

85,13.15,12058

86,10.05,12194

87,11.53,12329

88,11.49,12466

89,11.00,12601

90,8.66,12737

91,8.77,12872

92,9.43,13008

93,10.10,13144

94,9.85,13280

95,10.44,13415

96,11.96,13551

97,9.43,13698

98,10.68,13839

99,9.90,13974

100,10.82,14109

101,11.62,14245

102,11.66,14382

103,9.90,14517

104,11.22,14653

105,10.82,14788

106,11.18,14924

107,8.66,15060

108,9.22,15196

109,9.80,15332

110,10.77,15467

111,9.80,15603

112,11.22,15738

113,11.45,15875

114,9.11,16011

115,10.91,16146

116,10.00,16282

117,11.31,16418

118,12.37,16553

119,11.92,16690

120,12.04,16836

121,11.62,16972

122,11.58,17107

123,11.66,17244

124,10.58,17380

125,11.18,17515

126,11.31,17651

127,12.12,17793

128,11.18,17928

129,12.04,18064

130,10.86,18199

131,10.91,18335

132,9.38,18471

133,9.54,18607

134,10.82,18743

135,11.79,18878

136,11.00,19014

137,10.30,19150

138,12.96,19296

139,11.49,19432

140,12.45,19568

141,9.06,19703

142,10.39,19840

143,10.91,19975

144,12.96,20111

145,10.10,20247

146,15.03,20382

147,10.95,20518

148,12.65,20654

149,9.38,20790

150,11.09,20926

151,12.17,21061

152,12.29,21197

153,11.09,21332

154,11.53,21469

155,13.23,21605

156,12.92,21746

157,12.65,21881

158,11.58,22028

159,11.05,22164

160,11.45,22299

161,12.88,22435

162,11.27,22572

163,13.64,22707

164,11.14,22843

165,13.82,22978

166,9.27,23114

167,10.86,23250

168,11.45,23386

169,12.69,23522

170,10.63,23657

171,11.36,23793

172,11.58,23929

173,11.27,24065

174,10.44,24201

175,9.59,24336

176,11.00,24472

177,10.86,24608

178,11.62,24743

179,10.72,24880

180,14.25,25026

181,12.57,25161

182,13.82,25297

183,14.14,25433

184,16.19,25575

185,16.19,25710

186,13.86,25845

187,13.34,25981

188,13.27,26118

189,13.71,26253

190,12.41,26389

191,10.20,26524

192,12.04,26660

193,12.96,26796

194,14.76,26932

195,16.06,27068

196,15.00,27203

197,15.72,27351

198,15.26,27486

199,16.82,27622

200,13.78,27757

201,14.66,27893

202,16.22,28028

203,17.35,28165

204,14.07,28301

205,15.49,28436

206,16.06,28572

207,18.14,28707

208,11.66,28844

209,8.66,28979

210,8.43,29115

211,8.60,29250

212,8.37,29386

213,8.83,29528

214,8.43,29663

215,8.54,29799

216,8.37,29934

217,8.31,30070

218,8.37,30205

219,9.59,30342

220,8.60,30477

221,10.10,30623

222,8.31,30759

223,8.37,30895

224,8.66,31031

225,9.06,31166

226,8.31,31302

227,8.25,31437

228,8.43,31574

229,8.31,31709

230,8.31,31845

231,8.37,31980

232,8.31,32116

233,8.31,32252

234,8.72,32388

235,14.70,32524

236,12.00,32670

237,9.85,32805

238,9.95,32942

239,12.37,33077

240,11.36,33213

241,10.63,33349

242,10.82,33484

243,12.33,33626

244,11.66,33762

245,13.19,33897

246,14.25,34033

247,15.72,34168

248,14.42,34305

249,13.96,34441

250,13.15,34576

251,14.32,34712

252,15.36,34847

253,16.19,34983

254,16.46,35119

255,18.03,35255

256,19.52,35391

257,19.24,35526

258,15.03,35662

259,15.46,35798

260,16.43,35934

261,11.66,36069

262,18.06,36205

263,14.07,36352

264,12.65,36487

265,16.79,36623

266,15.10,36759

267,15.20,36894

268,11.96,37030

269,17.26,37166

270,14.11,37302

271,16.67,37443

272,14.32,37578

273,17.52,37714

274,16.67,37850

275,18.14,37997

276,21.24,38132

277,17.52,38268

278,14.66,38404

279,13.04,38540

280,13.89,38676

281,17.83,38811

282,14.46,38947

283,18.33,39083

284,14.04,39219

285,14.32,39354

286,17.69,39490

287,12.41,39626

288,19.95,39761

289,17.06,39898

290,14.66,40033

291,14.04,40169

292,12.33,40304

293,13.53,40440

294,14.39,40577

295,13.49,40712

296,12.81,40848

297,13.86,40983

298,13.78,41119

299,12.73,41261

300,11.22,41396

301,10.63,41532

302,11.75,41667

303,16.28,41803

304,16.34,41950

305,14.70,42085

306,13.93,42221

307,17.72,42356

308,24.66,42492

309,22.76,42629

310,17.61,42764

